,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1589156682,93,-33.93,18.42,288.71,4.1
1,Yulara,93,AU,1589156806,35,-25.24,130.99,287.15,7.7
2,Mumford,100,GH,1589156806,77,5.26,-0.76,299.37,4.68
3,Kutum,0,SD,1589156807,23,14.2,24.67,292.92,3.13
4,Khatanga,93,RU,1589156807,98,71.97,102.5,271.56,2.73
5,Tukan,99,RU,1589156807,73,53.84,57.46,282.87,0.39
6,Geraldton,17,AU,1589156807,72,-28.77,114.6,288.15,2.1
7,Pringsewu,91,ID,1589156807,91,-5.36,104.97,297.58,1.46
8,Cherskiy,5,RU,1589156807,66,68.75,161.3,278.5,8.95
9,Hithadhoo,99,MV,1589156807,77,-0.6,73.08,302.73,5.82
10,Alzamay,71,RU,1589156807,53,55.56,98.66,286.46,1.32
11,Saldanha,0,ZA,1589156808,82,-33.01,17.94,288.15,3.1
12,São Filipe,33,CV,1589156808,77,14.9,-24.5,295.84,3.18
13,Saint-Philippe,75,RE,1589156808,77,-21.36,55.77,294.15,3.6
14,Alexandria,0,EG,1589156772,93,31.22,29.96,288.15,1.0
15,Taoudenni,68,ML,1589156808,10,22.68,-3.98,307.59,4.86
16,Rikitea,22,PF,1589156808,80,-23.12,-134.97,297.08,3.88
17,Albany,98,US,1589156520,51,42.6,-73.97,285.37,2.21
18,Umm Kaddadah,11,SD,1589156809,15,13.6,26.69,299.85,7.19
19,Tuatapere,100,NZ,1589156809,73,-46.13,167.68,286.58,1.68
20,Ilulissat,100,GL,1589156809,96,69.22,-51.1,273.15,3.6
21,Mataura,80,NZ,1589156809,65,-46.19,168.86,286.3,0.58
22,Roald,57,NO,1589156809,86,62.58,6.13,275.37,1.0
23,Berdigestyakh,95,RU,1589156809,78,62.1,126.7,275.54,3.07
24,Mauá,0,BR,1589156809,59,-23.67,-46.46,291.15,1.0
25,Cabo San Lucas,40,MX,1589156810,16,22.89,-109.91,304.15,4.6
26,Puerto Ayora,21,EC,1589156729,93,-0.74,-90.35,297.59,2.68
27,Busselton,66,AU,1589156810,75,-33.65,115.33,284.82,1.48
28,Bethel,1,US,1589156810,30,41.37,-73.41,287.15,4.6
29,Leningradskiy,100,RU,1589156810,94,69.38,178.42,275.23,6.52
30,Saint George,1,US,1589156810,18,37.1,-113.58,304.26,7.7
31,Tautira,76,PF,1589156810,66,-17.73,-149.15,304.15,4.6
32,Slave Lake,90,CA,1589156810,34,55.28,-114.77,282.15,2.6
33,Teahupoo,85,PF,1589156810,66,-17.83,-149.27,304.15,4.6
34,Provideniya,100,RU,1589156811,89,64.38,-173.3,275.76,4.33
35,Kapaa,75,US,1589156811,69,22.08,-159.32,299.15,7.7
36,Port Alfred,0,ZA,1589156811,44,-33.59,26.89,294.26,3.67
37,Hobart,75,AU,1589156738,71,-42.88,147.33,285.15,3.6
38,Bilibino,36,RU,1589156811,80,68.05,166.44,275.68,9.97
39,Necochea,24,AR,1589156811,70,-38.55,-58.74,283.71,1.79
40,Castro,0,BR,1589156811,89,-24.79,-50.01,286.02,1.93
41,Laas,75,IT,1589156811,93,46.62,10.7,283.15,5.7
42,Assiut,0,EG,1589156811,49,27.18,31.18,293.15,4.1
43,Salalah,20,OM,1589156811,83,17.02,54.09,301.15,1.5
44,Cidreira,100,BR,1589156812,70,-30.18,-50.21,292.38,4.95
45,Hermanus,0,ZA,1589156812,94,-34.42,19.23,285.37,0.45
46,Kushima,40,JP,1589156812,64,31.46,131.23,295.15,1.5
47,Lebu,15,CL,1589156812,82,-37.62,-73.65,284.88,2.18
48,Upernavik,7,GL,1589156812,86,72.79,-56.15,264.09,5.35
49,Kotma,98,IN,1589156812,37,23.2,81.97,298.92,1.99
50,Dunedin,66,NZ,1589156812,88,-45.87,170.5,283.71,1.34
51,Atuona,19,PF,1589156812,78,-9.8,-139.03,300.48,6.19
52,Vao,94,NC,1589156813,64,-22.67,167.48,295.21,2.87
53,Poronaysk,100,RU,1589156813,90,49.22,143.12,276.96,2.08
54,Maceió,75,BR,1589156659,94,-9.67,-35.74,297.15,2.6
55,Chillán,75,CL,1589156813,87,-36.61,-72.1,285.93,2.1
56,Pisco,5,PE,1589156813,82,-13.7,-76.22,292.15,6.7
57,Accra,20,GH,1589156740,94,5.56,-0.2,299.15,2.6
58,Cache Creek,1,CA,1589156814,27,50.81,-121.32,293.15,5.1
59,Jamestown,90,US,1589156630,50,42.1,-79.24,284.82,3.6
60,Moanda,75,GA,1589156815,95,-1.56,13.22,294.43,0.85
61,Ouésso,80,CG,1589156815,96,1.61,16.05,295.53,2.33
62,Whitehorse,40,CA,1589156731,27,60.72,-135.05,290.15,5.7
63,Siniscola,97,IT,1589156815,87,40.57,9.69,288.86,2.23
64,Katsuura,75,JP,1589156815,88,35.13,140.3,298.15,2.6
65,Mosquera,20,CO,1589156815,77,4.71,-74.23,289.15,1.5
66,Namatanai,83,PG,1589156816,68,-3.67,152.43,303.36,2.93
67,Laguna,1,US,1589156816,38,38.42,-121.42,299.26,7.7
68,Barrow,1,US,1589156816,74,71.29,-156.79,275.15,2.1
69,Airai,17,TL,1589156816,82,-8.93,125.41,292.27,1.8
70,Longyearbyen,75,SJ,1589156816,61,78.22,15.64,265.15,2.6
71,Svetlaya,83,RU,1589156816,86,46.54,138.33,281.07,2.22
72,Qaanaaq,0,GL,1589156816,82,77.48,-69.36,259.84,1.15
73,Tuktoyaktuk,75,CA,1589156817,99,69.45,-133.04,276.15,3.6
74,Faya,1,SA,1589156817,68,18.39,42.45,292.15,0.69
75,Kruisfontein,0,ZA,1589156817,52,-34.0,24.73,288.42,1.62
76,Kaitangata,39,NZ,1589156817,69,-46.28,169.85,285.93,1.34
77,Buala,83,SB,1589156817,71,-8.14,159.59,302.88,2.72
78,Punta Arenas,75,CL,1589156617,87,-53.15,-70.92,279.15,6.7
79,Mangalore,81,IN,1589156676,83,12.87,74.88,299.15,1.5
80,Tasiilaq,17,GL,1589156817,92,65.61,-37.64,271.15,5.1
81,Qingdao,40,CN,1589156817,56,36.1,120.37,293.71,2.0
82,São João da Barra,0,BR,1589156818,68,-21.64,-41.05,294.38,4.38
83,Winslow,75,US,1589156818,40,35.02,-110.7,295.15,3.1
84,Chui,0,UY,1589156818,78,-33.7,-53.46,290.69,3.83
85,Pevek,4,RU,1589156818,81,69.7,170.31,275.82,7.37
86,Ushuaia,75,AR,1589156818,87,-54.8,-68.3,279.15,9.3
87,Camaná,78,PE,1589156818,78,-16.62,-72.71,292.4,2.42
88,Faanui,93,PF,1589156819,77,-16.48,-151.75,300.78,3.77
89,Bela,67,IN,1589156819,26,25.93,81.98,302.9,3.33
90,Butaritari,13,KI,1589156819,76,3.07,172.79,301.85,3.81
91,Tocopilla,30,CL,1589156819,67,-22.09,-70.2,290.62,3.48
92,Aykhal,90,RU,1589156819,73,66.0,111.5,270.15,4.0
93,Itarema,100,BR,1589156819,88,-2.92,-39.92,297.74,4.52
94,New Milford,1,US,1589156819,29,40.93,-74.02,289.26,4.6
95,Bluff,99,NZ,1589156820,73,-46.6,168.33,285.34,1.39
96,New Norfolk,86,AU,1589156820,88,-42.78,147.06,284.82,1.73
97,Coyhaique,40,CL,1589156713,80,-45.58,-72.07,278.15,2.1
98,Souillac,40,MU,1589156820,56,-20.52,57.52,295.15,4.1
99,Chokurdakh,99,RU,1589156820,100,70.63,147.92,273.97,5.78
100,Port-Gentil,40,GA,1589156820,94,-0.72,8.78,298.15,1.5
101,Dikson,1,RU,1589156820,98,73.51,80.55,267.24,4.72
102,Tiksi,97,RU,1589156821,98,71.69,128.87,269.92,3.9
103,Hong Kong,61,HK,1589156724,66,22.29,114.16,302.04,1.79
104,Carnarvon,11,AU,1589156821,56,-24.87,113.63,295.28,2.6
105,Mitsamiouli,5,KM,1589156821,76,-11.38,43.28,300.18,2.26
106,Ryōtsu-minato,90,JP,1589156821,93,38.08,138.43,289.15,4.1
107,Thompson,5,CA,1589156822,88,55.74,-97.86,273.15,5.1
108,Olafsvik,19,IS,1589156822,78,64.89,-23.71,278.72,5.92
109,Bang Saphan,40,TH,1589156822,100,11.21,99.51,300.15,1.5
110,Fairbanks,1,US,1589156822,24,64.84,-147.72,300.93,5.1
111,Östersund,5,SE,1589156822,74,63.18,14.64,271.15,6.7
112,Moroni,55,KM,1589156822,77,-11.7,43.26,299.41,3.35
113,Ribeira Grande,29,PT,1589156822,70,38.52,-28.7,288.02,8.76
114,Maksatikha,4,RU,1589156822,78,57.8,35.88,277.29,1.55
115,Luau,61,AO,1589156823,74,-10.71,22.22,290.23,1.71
116,Klaksvík,46,FO,1589156823,74,62.23,-6.59,271.15,0.5
117,Genhe,100,CN,1589156823,85,50.78,121.52,277.28,5.54
118,Mahébourg,40,MU,1589156823,56,-20.41,57.7,295.15,4.1
119,Chiquinquirá,65,CO,1589156823,100,5.62,-73.82,285.69,0.76
120,Vysokogornyy,100,RU,1589156823,88,50.12,139.15,277.83,2.42
121,Tiznit Province,69,MA,1589156823,83,29.58,-9.5,287.54,4.32
122,Rio Pardo,99,BR,1589156823,75,-29.99,-52.38,290.9,1.85
123,Mehamn,89,NO,1589156823,92,71.04,27.85,273.36,3.84
124,Mahajanga,20,MG,1589156824,73,-15.72,46.32,296.15,2.1
125,Tineo,75,ES,1589156824,93,43.34,-6.41,285.37,2.1
126,Canatlán,1,MX,1589156824,11,24.52,-104.78,299.26,6.71
127,Coihueco,75,CL,1589156824,87,-36.62,-71.83,285.93,2.1
128,Huarmey,6,PE,1589156824,82,-10.07,-78.15,293.2,3.55
129,Saint Paul Harbor,75,US,1589156824,87,57.79,-152.41,281.15,3.6
130,Lima,26,PE,1589156558,64,-12.04,-77.03,295.15,6.2
131,Toktogul,0,KG,1589156682,58,41.87,72.94,286.13,0.96
132,Sola,90,VU,1589156825,70,-13.88,167.55,303.15,3.1
133,Esperance,82,AU,1589156825,54,-33.87,121.9,285.15,4.1
134,Ambon City,100,ID,1589156825,92,-3.7,128.18,302.59,0.45
135,Soloneshnoye,67,RU,1589156825,46,51.65,84.32,289.73,2.46
136,Yellowknife,20,CA,1589156825,44,62.46,-114.35,277.15,4.1
137,Marzuq,4,YE,1589156826,25,14.4,46.47,298.32,2.22
138,Hilo,75,US,1589156826,54,19.73,-155.09,302.15,5.1
139,Tifton,40,US,1589156826,43,31.45,-83.51,296.15,1.98
140,Naze,75,JP,1589156826,78,28.37,129.48,296.15,2.1
141,Rawson,80,AR,1589156744,57,-43.3,-65.1,285.15,13.18
142,Cabedelo,20,BR,1589156826,94,-6.98,-34.83,298.15,2.1
143,Qiongshan,57,CN,1589156826,88,20.01,110.35,301.15,2.0
144,Pyaozerskiy,100,RU,1589156826,88,65.83,31.17,276.66,6.01
145,Katherine,31,AU,1589156527,22,-14.47,132.27,300.15,5.7
146,Changping,100,CN,1589156827,15,40.22,116.22,294.26,6.0
147,Kobyzhcha,0,UA,1589156827,93,50.83,31.5,280.15,1.0
148,Guerrero Negro,64,MX,1589156827,66,27.98,-114.06,293.32,8.16
149,East London,0,ZA,1589156559,33,-33.02,27.91,295.46,3.46
150,San Quintín,17,MX,1589156827,70,30.48,-115.95,292.66,4.39
151,Peniche,97,PT,1589156827,84,39.36,-9.38,289.26,8.05
152,Araouane,0,ML,1589156827,11,18.9,-3.53,305.12,2.44
153,Bredasdorp,0,ZA,1589156827,93,-34.53,20.04,288.15,0.5
154,Rio Grande,37,BR,1589156675,80,-32.03,-52.1,289.26,4.79
155,Khagaria,47,IN,1589156827,40,25.5,86.48,302.12,2.7
156,Evensk,100,RU,1589156828,97,61.95,159.23,274.93,2.14
157,Hūn,82,LY,1589156828,15,29.13,15.95,300.66,5.44
158,Hamilton,75,US,1589156725,46,39.18,-84.53,285.37,10.8
159,Tura,31,IN,1589156828,57,25.52,90.22,297.95,0.81
160,Havre-St-Pierre,90,CA,1589156828,74,50.23,-63.6,276.15,11.8
161,Nyurba,8,RU,1589156828,65,63.28,118.33,277.94,3.51
162,Kolpashevo,37,RU,1589156828,53,58.31,82.91,290.84,1.64
163,Launceston,90,AU,1589156677,93,-41.45,147.17,284.26,3.1
164,Avarua,99,CK,1589156829,74,-21.21,-159.78,301.15,7.2
165,Kharovsk,45,RU,1589156829,86,59.96,40.19,277.99,2.33
166,Isangel,20,VU,1589156829,61,-19.55,169.27,299.15,4.1
167,Grindavik,75,IS,1589156829,75,63.84,-22.43,279.15,6.2
168,Aksu,87,CN,1589156829,49,41.12,80.26,289.43,2.62
169,Nerchinskiy Zavod,96,RU,1589156829,67,51.31,119.61,278.64,8.11
170,Rosarito,75,MX,1589156829,72,32.33,-117.03,294.26,8.2
171,Bintulu,75,MY,1589156829,94,3.17,113.03,301.15,0.5
172,San Jose de Guanipa,87,VE,1589156829,46,8.89,-64.17,303.2,6.18
173,Omsukchan,99,RU,1589156830,94,62.53,155.8,273.75,1.1
174,Jardim,0,BR,1589156830,67,-21.48,-56.14,294.58,2.3
175,Warrington,12,GB,1589156830,65,53.39,-2.58,278.15,5.1
176,Nzega,87,RW,1589156830,98,-2.48,29.56,286.17,1.08
177,Koshurnikovo,0,RU,1589156830,73,54.17,93.3,284.96,1.32
178,Norman Wells,40,CA,1589156830,38,65.28,-126.83,288.15,5.7
179,Timmins,75,CA,1589156830,74,48.47,-81.33,271.15,4.1
180,Saint Anthony,90,US,1589156830,39,45.02,-93.22,282.15,6.7
181,Ponta Delgada,20,PT,1589156643,67,37.73,-25.67,288.15,4.1
182,Pochutla,22,MX,1589156830,75,15.74,-96.47,303.15,1.92
183,Salym,98,RU,1589156831,63,60.06,71.48,288.8,1.96
184,Alamor,75,EC,1589156831,66,-4.02,-80.02,302.15,2.6
185,Hasaki,75,JP,1589156831,94,35.73,140.83,295.15,3.1
186,Aswān,0,EG,1589156831,32,24.09,32.91,295.38,3.13
187,Karoi,60,ZW,1589156831,85,-16.81,29.69,286.62,2.38
188,George Town,20,MY,1589156601,94,5.41,100.34,300.15,2.1
189,Ambilobe,57,MG,1589156832,86,-13.2,49.05,293.92,1.75
190,Vanimo,86,PG,1589156832,75,-2.67,141.3,302.49,1.05
191,Samarai,52,PG,1589156832,80,-10.62,150.67,300.24,5.23
192,Vanavara,39,RU,1589156832,62,60.34,102.28,279.15,1.15
193,Leshukonskoye,2,RU,1589156832,99,64.9,45.76,272.89,1.97
194,Suzdal,96,RU,1589156832,95,56.43,40.44,282.24,1.52
195,Rodolfo Sánchez Taboada,23,MX,1589156832,79,31.72,-116.57,293.15,2.68
196,Ankang,94,CN,1589156832,55,32.68,109.02,290.37,2.68
197,Saskylakh,67,RU,1589156833,96,71.92,114.08,266.61,4.77
198,Solnechnyy,97,RU,1589156833,70,50.72,136.63,282.8,4.43
199,Nikolskoye,52,RU,1589156833,52,59.7,30.79,280.15,3.0
200,Sharan,100,RU,1589156833,67,54.82,54.0,285.77,2.94
201,Port Hardy,40,CA,1589156833,33,50.7,-127.42,297.15,2.1
202,Kavieng,30,PG,1589156833,73,-2.57,150.8,303.22,4.98
203,Kurumkan,0,RU,1589156644,65,54.3,110.3,277.7,2.99
204,Vaini,20,TO,1589156833,78,-21.2,-175.2,300.15,7.2
205,Nelson Bay,20,AU,1589156833,50,-32.72,152.15,288.15,5.7
206,Cururupu,22,BR,1589156833,94,-1.83,-44.87,297.39,1.4
207,Marovoay,20,MG,1589156834,73,-16.1,46.63,296.15,2.1
208,Kavaratti,96,IN,1589156834,77,10.57,72.64,302.61,4.69
209,Lüderitz,0,NA,1589156834,27,-26.65,15.16,297.15,3.6
210,Asău,98,RO,1589156834,67,46.43,26.4,285.93,2.23
211,Talnakh,56,RU,1589156834,92,69.49,88.4,272.15,3.0
212,Antofagasta,90,CL,1589156730,77,-23.65,-70.4,289.15,4.6
213,Missão Velha,100,BR,1589156834,81,-7.25,-39.14,295.22,2.69
214,Guarapari,75,BR,1589156834,88,-20.67,-40.5,294.82,2.1
215,Buriti Bravo,55,BR,1589156834,87,-5.84,-43.83,295.93,1.69
216,Cisarua,53,ID,1589156835,100,-6.65,106.47,297.04,0.45
217,Vila Velha,75,BR,1589156835,88,-20.33,-40.29,294.82,2.1
218,Pozo Colorado,50,PY,1589156835,55,-23.49,-58.8,298.67,3.93
219,San Cristobal,3,VE,1589156835,73,7.77,-72.22,294.59,1.21
220,Kimbe,81,PG,1589156835,61,-5.55,150.14,305.01,0.82
221,Bambous Virieux,40,MU,1589156835,56,-20.34,57.76,295.15,4.1
222,Pyshchug,100,RU,1589156835,96,58.89,45.71,282.36,2.6
223,Lázaro Cárdenas,0,MX,1589156835,65,17.96,-102.2,301.47,4.73
224,Nortelândia,64,BR,1589156836,82,-14.45,-56.8,297.06,1.62
225,Santiago Tuxtla,34,MX,1589156836,70,18.47,-95.3,299.09,5.1
226,Mayya,94,RU,1589156836,48,61.73,130.28,278.15,3.0
227,Elizabeth City,1,US,1589156836,48,36.29,-76.25,290.15,4.1
228,Ponta do Sol,20,PT,1589156836,68,32.67,-17.1,292.15,1.5
229,Mar del Plata,30,AR,1589156836,76,-38.0,-57.56,288.71,3.1
230,Clyde River,90,CA,1589156836,78,70.47,-68.59,263.15,1.0
231,Petlāwad,0,IN,1589156836,51,23.0,74.8,297.66,3.36
232,Vestmannaeyjar,31,IS,1589156837,70,63.44,-20.27,279.01,6.63
233,Dudinka,56,RU,1589156837,92,69.41,86.18,272.15,3.0
234,Isfahan,34,IR,1589156838,34,32.66,51.68,288.15,2.1
235,Nowogard,75,PL,1589156838,87,53.67,15.12,287.15,4.1
236,Qasigiannguit,100,GL,1589156838,96,68.82,-51.19,273.15,3.6
237,Ambatofinandrahana,76,MG,1589156838,85,-20.55,46.8,286.89,2.8
238,Jalu,0,LY,1589156838,18,29.03,21.55,295.96,4.43
239,Coquimbo,0,CL,1589156839,87,-29.95,-71.34,286.15,1.0
240,Kiryat Gat,0,IL,1589156839,74,31.61,34.76,290.37,1.26
241,Port Lincoln,49,AU,1589156839,65,-34.73,135.87,286.59,5.42
242,Kudahuvadhoo,85,MV,1589156839,76,2.67,72.89,303.07,7.34
243,Seoul,40,KR,1589156286,82,37.57,126.98,289.15,2.6
244,Rundu,71,NA,1589156839,59,-17.93,19.77,290.15,1.5
245,Arrondissement de Montauban,100,FR,1589156839,93,44.08,1.5,287.15,6.7
246,La Palma,1,US,1589156840,56,33.85,-118.05,298.71,3.1
247,Kahului,20,US,1589156840,58,20.89,-156.47,301.15,10.3
248,Erbaa,97,TR,1589156840,81,40.67,36.57,282.15,0.49
249,Atherton,7,GB,1589156840,68,53.52,-2.49,277.59,1.79
250,Anjiang,90,CN,1589156840,78,27.32,110.1,295.4,1.17
251,Nago,75,JP,1589156840,100,26.59,127.98,297.15,5.1
252,Port Elizabeth,0,ZA,1589156840,76,-33.92,25.57,284.15,2.1
253,Tilichiki,100,RU,1589156840,100,60.47,166.1,272.83,0.99
254,Tessalit,42,ML,1589156840,12,20.2,1.01,303.83,3.26
255,Paamiut,79,GL,1589156841,78,61.99,-49.67,279.31,10.96
256,Ancud,40,CL,1589156776,93,-41.87,-73.82,284.26,2.6
257,Marawi,43,PH,1589156841,82,8.0,124.29,302.04,0.89
258,Severo-Kuril'sk,75,RU,1589156841,84,50.68,156.12,274.98,1.19
259,Ostrovnoy,100,RU,1589156841,96,68.05,39.51,273.03,8.75
260,Biak,90,ID,1589156841,74,-0.91,122.88,300.01,3.34
261,Praia da Vitória,40,PT,1589156841,71,38.73,-27.07,287.15,9.07
262,Morehead,1,US,1589156842,47,37.27,-87.18,286.15,6.2
263,Arraial do Cabo,0,BR,1589156755,67,-22.97,-42.03,295.55,9.76
264,Goedereede,100,NL,1589156842,67,51.82,3.98,281.48,4.92
265,Mfou,72,CM,1589156842,99,3.72,11.64,293.36,1.34
266,Chiredzi,1,ZW,1589156842,84,-21.05,31.67,287.22,0.94
267,Narsaq,60,GL,1589156842,57,60.92,-46.05,282.15,2.1
